City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,scarborough,54.2797,-0.4044,11.3,87,100,2.68,GB,1681677796
1,yanam,16.7333,82.2167,24.79,85,23,1.39,IN,1681677816
2,kapaa,22.0752,-159.319,26.99,80,100,3.09,US,1681677816
3,bredasdorp,-34.5322,20.0403,13.99,86,0,1.28,ZA,1681677817
4,mataura,-46.1927,168.8643,11.38,68,14,1.26,NZ,1681677817
5,jamestown,42.097,-79.2353,25.29,41,75,5.66,US,1681677817
6,punta arenas,-53.15,-70.9167,7.06,53,75,9.26,CL,1681677817
7,avarua,-21.2078,-159.775,25.03,53,40,2.57,CK,1681677818
8,albany,42.6001,-73.9662,24.24,61,83,1.34,US,1681677818
9,mikhaylovka,50.06,43.2379,4.83,51,17,2.16,RU,1681677818
10,cabedelo,-6.9811,-34.8339,25.37,82,100,4.81,BR,1681677687
11,hilo,19.7297,-155.09,26.82,80,40,5.14,US,1681677818
12,airai,-8.9266,125.4092,15.63,96,100,0.7,TL,1681677819
13,bluff,-46.6,168.3333,11.56,70,66,3.98,NZ,1681677819
14,rikitea,-23.1203,-134.9692,26.52,82,5,6.89,PF,1681677819
15,dawson,31.7735,-84.4466,23.21,82,82,7.05,US,1681677819
16,kitimat,54.0524,-128.6534,6.21,29,100,1.43,CA,1681677820
17,oktyabrskoye,43.0645,44.7417,1.08,93,58,4.0,RU,1681677820
18,codrington,-38.2667,141.9667,11.25,89,45,4.96,AU,1681677820
19,vaini,-21.2,-175.2,26.09,78,75,6.69,TO,1681677820
20,hofn,64.2539,-15.2082,7.55,95,100,4.44,IS,1681677821
21,apache junction,33.4151,-111.5496,32.35,11,0,4.47,US,1681677821
22,carnarvon,-24.8667,113.6333,20.69,34,22,4.5,AU,1681677821
23,clyde river,70.4692,-68.5914,-14.87,78,0,7.72,CA,1681677822
24,kaitangata,-46.2817,169.8464,11.09,65,1,1.96,NZ,1681677822
25,lagoa,39.05,-27.9833,15.11,69,7,7.58,PT,1681677822
26,ishinomaki,38.4167,141.3,7.09,67,91,10.12,JP,1681677822
27,mahebourg,-20.4081,57.7,25.16,88,40,1.03,MU,1681677823
28,hobart,-42.8794,147.3294,10.14,80,75,3.09,AU,1681677544
29,vasai,19.47,72.8,29.05,68,4,3.85,IN,1681677824
30,nikolskoye,59.7035,30.7861,7.67,60,100,1.32,RU,1681677824
31,souillac,-20.5167,57.5167,25.21,88,40,1.03,MU,1681677824
32,thompson,55.7435,-97.8558,4.09,35,40,2.06,CA,1681677824
33,iqaluit,63.7506,-68.5145,-13.15,78,40,10.29,CA,1681677825
34,namibe,-15.1961,12.1522,23.99,79,13,1.59,AO,1681677825
35,leningradskiy,69.3833,178.4167,-15.68,91,36,2.03,RU,1681677825
36,pevek,69.7008,170.3133,-17.74,90,97,1.05,RU,1681677825
37,lebu,-37.6167,-73.65,12.51,71,22,8.86,CL,1681677826
38,narsaq,60.9167,-46.05,11.12,70,45,3.66,GL,1681677826
39,busselton,-33.65,115.3333,17.72,82,76,4.92,AU,1681677826
40,caravelas,-17.7125,-39.2481,25.58,77,14,4.85,BR,1681677827
41,butaritari,3.0707,172.7902,27.87,77,100,5.15,KI,1681677827
42,merrill,45.1805,-89.6835,3.53,97,100,6.69,US,1681677827
43,ponta do sol,32.6667,-17.1,19.84,79,35,1.86,PT,1681677827
44,new norfolk,-42.7826,147.0587,9.95,77,56,1.27,AU,1681677828
45,atuona,-9.8,-139.0333,27.52,79,18,9.06,PF,1681677828
46,arraial do cabo,-22.9661,-42.0278,24.98,78,20,4.63,BR,1681677828
47,saint-philippe,-21.3585,55.7679,23.77,81,34,3.02,RE,1681677828
48,vila velha,-20.3297,-40.2925,25.97,87,20,5.66,BR,1681677829
49,hermanus,-34.4187,19.2345,13.78,72,0,3.21,ZA,1681677829
50,razdolinsk,58.4211,94.6658,-13.73,100,99,0.93,RU,1681677829
51,pinega,64.7001,43.3936,-0.34,96,100,1.35,RU,1681677829
52,severo-kurilsk,50.6789,156.125,0.14,97,100,18.11,RU,1681677830
53,tarrafal,15.2833,-23.7667,25.44,84,22,6.5,CV,1681677830
54,sorland,67.667,12.6934,5.92,84,98,4.28,NO,1681677830
55,gornopravdinsk,60.05,69.9,-15.48,82,56,3.68,RU,1681677830
56,huicungo,-7.2833,-76.8,30.42,57,99,1.01,PE,1681677831
57,port alfred,-33.5906,26.891,15.1,84,2,5.05,ZA,1681677831
58,mayo,38.8876,-76.5119,27.85,63,0,4.12,US,1681677546
59,redding,40.5865,-122.3917,21.06,43,0,7.2,US,1681677539
60,yellowknife,62.456,-114.3525,5.31,48,40,7.6,CA,1681677831
61,luderitz,-26.6481,15.1594,21.29,39,2,0.98,NA,1681677832
62,cape town,-33.9258,18.4232,19.1,81,0,5.14,ZA,1681677716
63,salalah,17.0151,54.0924,28.05,83,20,2.57,OM,1681677832
64,lasa,46.6166,10.7002,7.49,94,88,2.84,IT,1681677832
65,lompoc,34.6391,-120.4579,14.23,79,100,2.68,US,1681677833
66,senneterre,48.3835,-77.2328,21.78,57,80,3.1,CA,1681677833
67,ushuaia,-54.8,-68.3,3.79,87,40,8.23,AR,1681677413
68,gazanjyk,39.2446,55.5154,10.3,33,8,3.81,TM,1681677833
69,yar-sale,66.8333,70.8333,-24.85,85,22,4.62,RU,1681677833
